Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1776382053,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776382054,20,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776382055,60,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776382056,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776382057,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776382058,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776382059,80,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1776382060,80,,Aggregated,0.000000,0.000000,4900,5500,5700,6200,6300,6300,6400,6400,6400,6400,6400,84,0,4900,4637.866652380797,267.4350000015693,6422.056900002644,21.964285714285715
1776382061,80,,Aggregated,0.000000,0.000000,860,4100,4800,5400,6200,6300,6300,6400,6400,6400,6400,178,0,810,2609.820956741643,267.4350000015693,6422.056900002644,22.230337078651687
1776382062,80,,Aggregated,5.857143,0.000000,620,830,4000,4700,5500,6200,6300,6400,6400,6400,6400,282,0,610,1842.4752808507992,249.40839999180753,6422.056900002644,22.180851063829788
1776382063,80,,Aggregated,17.125000,0.000000,650,840,1000,4000,5400,6200,6300,6300,6400,6400,6400,370,0,650,1579.88278405368,249.40839999180753,6422.056900002644,22.175675675675677
1776382064,80,,Aggregated,26.888889,0.000000,550,700,840,930,4800,5500,6200,6300,6400,6400,6400,501,6,550,1260.194869261089,249.40839999180753,6422.056900002644,22.347305389221557
1776382065,80,,Aggregated,30.900000,0.000000,400,620,720,830,4100,5500,6200,6300,6400,6400,6400,639,38,400,1060.6589760560134,249.40139999671374,6422.056900002644,23.35211267605634
1776382066,80,,Aggregated,44.700000,0.000000,350,530,650,730,3900,5400,6200,6300,6400,6400,6400,788,126,350,914.4129062178624,247.08030000329018,6422.056900002644,25.027918781725887
1776382067,80,,Aggregated,57.900000,2.000000,330,400,600,670,1000,4800,6200,6300,6400,6400,6400,937,248,330,814.3289863389309,243.88569999428,6422.056900002644,26.948772678762005
1776382068,80,,Aggregated,72.700000,8.600000,330,400,610,670,920,4800,5700,6200,6400,6400,6400,1032,324,330,779.7024057166597,242.30589999933727,6422.056900002644,27.837209302325583
1776382069,80,,Aggregated,87.600000,19.800000,330,390,590,640,860,4700,5600,6200,6400,6400,6400,1178,441,330,727.2374873510549,242.30589999933727,6422.056900002644,28.927843803056028
1776382070,80,,Aggregated,99.000000,28.700000,320,360,530,620,820,4000,5500,6200,6400,6400,6400,1335,578,320,674.9453283142873,242.30589999933727,6422.056900002644,30.06067415730337
1776382071,80,,Aggregated,112.300000,39.300000,310,340,430,580,770,4000,5500,6200,6400,6400,6400,1486,690,310,635.1284119781658,242.30589999933727,6422.056900002644,30.565275908479137
1776382072,80,,Aggregated,122.000000,51.200000,310,330,380,530,730,1200,5500,6200,6400,6400,6400,1636,815,310,602.5661278725812,242.30589999933727,6422.056900002644,31.20110024449878
1776382073,80,,Aggregated,127.800000,63.700000,300,330,360,490,710,1100,5400,6200,6400,6400,6400,1785,933,300,575.858999775693,242.30589999933727,6422.056900002644,31.633613445378153
1776382074,80,,Aggregated,132.900000,76.000000,300,320,350,400,700,990,5400,6100,6400,6400,6400,1935,1051,300,553.3903999481752,242.30589999933727,6422.056900002644,31.990697674418605
1776382075,80,,Aggregated,140.900000,88.100000,300,320,350,390,690,920,4900,5700,6400,6400,6400,2050,1146,300,540.2202064876315,242.30589999933727,6422.056900002644,32.28878048780488
1776382076,80,,Aggregated,142.100000,99.600000,300,320,360,410,670,890,4800,5600,6400,6400,6400,2199,1268,300,529.1256827192612,242.30589999933727,6422.056900002644,32.615279672578446
1776382077,80,,Aggregated,143.800000,109.700000,300,320,350,390,650,860,4800,5600,6400,6400,6400,2349,1381,300,513.1683699870816,240.9442000061972,6422.056900002644,32.78927203065134
1776382078,80,,Aggregated,139.600000,112.000000,300,320,340,370,630,850,4800,5500,6400,6400,6400,2503,1501,300,498.7277705951475,240.9442000061972,6422.056900002644,32.98921294446664
1776382079,80,,Aggregated,140.200000,113.100000,290,310,330,360,620,830,4700,5500,6400,6400,6400,2657,1625,290,485.90315163708726,240.9442000061972,6422.056900002644,33.20662401204366
1776382080,80,,Aggregated,144.100000,115.600000,290,310,330,350,610,800,4700,5500,6400,6400,6400,2806,1736,290,475.2642869564348,240.9442000061972,6422.056900002644,33.30791161796151
1776382081,80,,Aggregated,145.800000,117.000000,290,310,330,350,600,770,4700,5500,6400,6400,6400,2960,1850,290,465.2842805404997,240.9442000061972,6422.056900002644,33.395270270270274
1776382082,80,,Aggregated,147.100000,116.800000,290,310,330,350,610,810,4100,5500,6300,6400,6400,3009,1894,290,466.19708281817964,240.9442000061972,6422.056900002644,33.49052841475573
1776382083,80,,Aggregated,146.700000,115.400000,290,310,330,360,640,1000,4100,5500,6300,6400,6400,3128,1982,290,476.67824904089946,240.9442000061972,6422.056900002644,33.54667519181586
1776382084,80,,Aggregated,141.800000,111.600000,290,310,330,360,630,990,4100,5500,6300,6400,6400,3279,2105,290,467.67114187249535,240.9442000061972,6422.056900002644,33.70539798719122
1776382085,80,,Aggregated,133.400000,104.500000,290,310,330,350,620,930,4000,5500,6300,6400,6400,3434,2235,290,459.2173861094725,240.9442000061972,6422.056900002644,33.88322655794991
1776382086,80,,Aggregated,133.400000,104.300000,290,310,320,340,610,900,4000,5400,6300,6400,6400,3586,2357,290,451.6090088120056,240.9442000061972,6422.056900002644,34.00139431121026
1776382087,80,,Aggregated,134.100000,105.800000,290,310,320,340,590,880,4000,5400,6300,6400,6400,3736,2480,290,444.6408066380621,240.9442000061972,6422.056900002644,34.12740899357602
1776382088,80,,Aggregated,138.400000,108.600000,290,310,320,340,570,860,3900,5400,6300,6400,6400,3875,2600,290,440.2698693418874,240.9442000061972,6422.056900002644,34.27741935483871
1776382089,80,,Aggregated,138.500000,109.200000,290,310,320,340,550,840,1400,4900,6300,6400,6400,4018,2714,290,436.8755817570738,240.9442000061972,6422.056900002644,34.35739173718268
1776382090,80,,Aggregated,135.500000,107.700000,290,310,320,340,540,820,1300,4900,6300,6400,6400,4167,2830,290,431.45993186944844,240.9442000061972,6422.056900002644,34.41684665226782
1776382091,80,,Aggregated,136.700000,109.700000,290,310,320,340,530,800,1200,4800,6300,6400,6400,4316,2953,290,426.12632261350984,240.9442000061972,6422.056900002644,34.51598702502317
1776382092,80,,Aggregated,135.200000,108.600000,290,310,320,330,530,760,1200,4800,6300,6400,6400,4469,3075,290,421.20026234056684,240.9442000061972,6422.056900002644,34.58491832624748
1776382093,80,,Aggregated,135.100000,109.700000,290,310,320,330,520,740,1200,4800,6300,6400,6400,4589,3177,290,417.55797182392513,240.9442000061972,6422.056900002644,34.67291348877751
1776382094,80,,Aggregated,139.600000,113.300000,290,310,320,330,510,730,1200,4800,6300,6400,6400,4751,3308,290,414.95322024834985,240.9442000061972,6422.056900002644,34.74657966743843
1776382095,80,,Aggregated,148.600000,120.800000,290,310,320,330,500,720,1200,4800,6300,6400,6400,4903,3432,290,410.7634884968269,240.9442000061972,6422.056900002644,34.817254741994695
1776382096,80,,Aggregated,146.800000,120.200000,290,310,320,330,500,720,1200,4800,6300,6400,6400,5020,3524,290,408.4887141832484,240.9442000061972,6422.056900002644,34.85019920318725
1776382097,80,,Aggregated,146.700000,119.400000,290,310,320,330,500,700,1200,4800,6300,6400,6400,5173,3649,290,406.3027052773856,240.9442000061972,6422.056900002644,34.915522907403826
1776382098,80,,Aggregated,146.300000,119.200000,290,310,320,330,500,700,1200,4700,6300,6400,6400,5332,3778,290,402.5546414666024,240.9442000061972,6422.056900002644,34.9748687171793
1776382099,80,,Aggregated,142.500000,115.900000,290,310,320,330,510,690,1200,4700,6300,6400,6400,5458,3879,290,402.59020762184264,240.9442000061972,6422.056900002644,35.01337486258703
1776382100,80,,Aggregated,145.900000,118.700000,290,310,320,330,500,690,1200,4700,6300,6400,6400,5602,3992,290,399.7038853802244,240.9442000061972,6422.056900002644,35.04355587290254
1776382101,80,,Aggregated,143.800000,116.200000,290,310,320,330,500,680,1200,4700,6300,6400,6400,5752,4116,290,396.5426144819247,240.9442000061972,6422.056900002644,35.1029207232267
1776382102,80,,Aggregated,143.900000,116.400000,290,300,320,330,490,670,1200,4700,6300,6400,6400,5898,4223,290,393.73256049507484,240.9442000061972,6422.056900002644,35.095116988809764
1776382103,80,,Aggregated,143.300000,115.200000,290,300,320,330,490,660,1200,4100,6300,6400,6400,6041,4332,290,391.0907614467648,239.97640000015963,6422.056900002644,35.106604866743915
1776382104,80,,Aggregated,142.600000,114.600000,290,300,320,330,490,660,1100,4100,6300,6400,6400,6183,4438,290,390.1436774542994,239.97640000015963,6422.056900002644,35.10771470160117
1776382105,80,,Aggregated,142.800000,114.200000,290,300,320,330,480,650,1100,4100,6300,6400,6400,6328,4556,290,388.03629137165694,239.97640000015963,6422.056900002644,35.150442477876105
1776382106,80,,Aggregated,143.600000,114.000000,290,300,320,330,480,640,1100,4100,6300,6400,6400,6473,4672,290,385.6039479530013,239.97640000015963,6422.056900002644,35.18291364127916
